Questionnaire Number,Q76,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90
98,5,5,3,4,4,3,3,1,4,5,2,2,2,2,4
99,4,3,3,4,4,4,4,3,4,5,4,2,5,2,5
100,4,5,3,4,4,4,4,4,5,5,2,2,3,5,2
101,4,5,3,4,5,4,4,4,5,5,4,5,3,5,4
102,3,4,3,4,5,4,4,4,2,4,2,5,3,5,2
103,5,4,5,3,1,4,4,4,2,4,4,5,3,5,4
104,5,4,4,5,1,4,4,4,5,2,5,5,4,4,2
105,4,3,5,5,2,4,4,4,4,5,1,4,4,4,4
106,4,5,2,4,4,4,4,3,3,4,2,4,3,2,5
107,4,5,5,4,4,4,4,5,3,3,1,5,5,5,3
108,2,4,4,4,4,4,5,5,2,3,3,5,5,5,3
109,4,4,3,2,4,4,4,5,4,4,5,3,4,4,2
110,4,4,3,4,3,4,4,5,5,4,4,4,5,1,4
111,1,2,5,4,3,2,2,1,5,4,5,5,4,2,4
112,2,4,4,4,3,4,4,1,2,4,3,1,3,2,4
113,2,4,3,2,5,5,4,2,2,4,3,2,3,2,5
114,2,1,3,4,5,5,1,4,5,3,3,1,4,5,2
115,5,2,5,5,4,1,2,4,4,3,4,3,4,5,4
116,5,2,5,3,3,4,2,4,3,3,4,4,5,5,2
117,5,2,4,5,5,5,2,4,3,4,5,5,2,3,3
118,5,5,4,5,5,5,5,3,2,4,4,5,4,4,5
119,4,5,3,4,4,4,5,5,1,4,4,5,5,4,4
120,4,5,5,3,4,3,5,3,5,4,2,1,5,4,5
